Progeny Sire    Dam     Sex  G   NMPrg NFPrg F        Homo     Phen      Res       Polygene  QTL       Final_EBV
228     0       0       F   0    1     0     0.000000 0.708178 -1.092215 -1.363692 -0.000000 +0.271477 -0.094264
229     0       0       F   0    0     1     0.000000 0.688244 -0.697121 -1.241513 +0.000000 +0.544393 -0.100706
230     0       0       F   0    3     3     0.000000 0.721467 +2.795443 +2.818253 -0.000000 -0.022810 +0.101064
231     0       0       F   0    1     3     0.000000 0.697000 -0.840716 -0.838670 +0.000000 -0.002046 +0.063378
232     0       0       F   0    7     2     0.000000 0.693733 +1.260067 +1.080679 +0.000000 +0.179388 +0.245648
233     0       0       F   0    4     2     0.000000 0.704644 +1.728337 +1.319200 -0.000000 +0.409137 +0.135400
234     0       0       F   0    2     1     0.000000 0.700644 -0.590963 -0.900037 -0.000000 +0.309074 -0.022392
235     0       0       F   0    1     1     0.000000 0.705844 -0.380586 -0.577665 -0.000000 +0.197078 -0.028522
236     0       0       F   0    4     1     0.000000 0.692022 +1.169702 +1.503272 +0.000000 -0.333570 -0.002166
237     0       0       F   0    2     2     0.000000 0.696356 +0.893120 +0.866945 +0.000000 +0.026175 +0.039607
238     0       0       F   0    3     5     0.000000 0.702289 +1.446793 +1.250497 +0.000000 +0.196296 +0.193179
239     0       0       F   0    0     1     0.000000 0.693667 -0.802240 -0.825291 -0.000000 +0.023051 -0.102997
240     0       0       F   0    1     1     0.000000 0.691089 -0.480811 -0.254919 +0.000000 -0.225892 -0.077649
241     0       0       F   0    2     0     0.000000 0.697667 -0.699690 -1.028978 +0.000000 +0.329288 -0.060387
242     0       0       F   0    2     3     0.000000 0.704711 -0.104523 +0.240999 +0.000000 -0.345522 +0.064327
243     0       0       F   0    3     4     0.000000 0.692578 +2.378180 +2.333802 +0.000000 +0.044378 +0.142276
244     0       0       F   0    2     2     0.000000 0.683733 +0.971609 +1.069308 -0.000000 -0.097699 +0.030441
245     0       0       F   0    1     3     0.000000 0.699622 +0.804205 +0.385846 -0.000000 +0.418359 +0.029136
246     0       0       F   0    3     3     0.000000 0.711422 +0.810141 +0.456900 +0.000000 +0.353240 +0.192398
247     0       0       F   0    0     1     0.000000 0.701667 -1.130473 -1.288622 -0.000000 +0.158149 -0.137639
248     0       0       F   0    1     1     0.000000 0.700711 +0.810226 +0.339242 +0.000000 +0.470984 -0.028725
249     0       0       F   0    1     1     0.000000 0.688889 -0.960874 -1.201344 -0.000000 +0.240469 -0.051586
250     0       0       F   0    1     0     0.000000 0.698067 -1.558371 -1.302732 +0.000000 -0.255640 -0.134495
251     0       0       F   0    4     1     0.000000 0.697222 +1.149822 +0.505991 +0.000000 +0.643831 +0.109126
252     0       0       F   0    2     2     0.000000 0.686578 +1.356282 +0.881634 +0.000000 +0.474648 +0.016949
253     0       0       F   0    1     0     0.000000 0.695889 -1.703620 -1.475518 -0.000000 -0.228102 -0.147031
254     0       0       F   0    4     1     0.000000 0.698000 +0.561208 +0.281713 -0.000000 +0.279496 +0.080166
255     0       0       F   0    1     1     0.000000 0.722778 -0.754781 -0.886756 +0.000000 +0.131975 -0.025741
256     0       0       F   0    1     4     0.000000 0.720200 -0.242470 -0.733588 -0.000000 +0.491118 +0.121146
257     0       0       F   0    0     1     0.000000 0.699133 -1.004059 -0.745135 +0.000000 -0.258924 -0.111587
